1    -1.280185114564794 -2.158292118002285
2    -1.2754656529904675 -2.6524537198132965
3    -1.2742393298105315 -3.000093350613244
4    -1.2737825472919022 -3.2651981255208913
5    -1.273585520797801 -3.4609539480960287
6    -1.273477565871106 -3.6233844764891945
7    -1.2734132446384145 -3.760200423447188
8    -1.2733732709551155 -3.8737834314472566
9    -1.2733442207490202 -3.9801528239810113
10    -1.273323880523811 -4.073988089499986
11    -1.2733091430714623 -4.157401141774394
12    -1.2732977915886898 -4.234727530088171
13    -1.2732893292547431 -4.302905679444735
14    -1.2732824423112516 -4.367567246760949
15    -1.273276766697773 -4.429200731461218
16    -1.2732721864198102 -4.486227435261191
17    -1.273268421292193 -4.539454589209218
18    -1.2732652427767899 -4.590099971717491
19    -1.273262591436026 -4.637391235099756
20    -1.273260342476842 -4.681983820290916
21    -1.2732583755382825 -4.725131157242389
22    -1.2732566858579368 -4.765960734407896
23    -1.273255217597736 -4.804851674466482
24    -1.2732539783454766 -4.840625024176299
25    -1.2732528403185257 -4.8762926026017235
26    -1.2732518301152767 -4.9106114017397005
27    -1.273250930684481 -4.943630753657594
28    -1.2732501264438834 -4.975444197310473
29    -1.2732494044756169 -5.006134517173206
30    -1.2732487539346997 -5.0357781169909295
31    -1.2732481657031385 -5.064443968154118
32    -1.273247632044151 -5.092195963649655
33    -1.273247146449009 -5.119088482690608
34    -1.2732467033216097 -5.145172726114209
35    -1.273246297821899 -5.170497672162239
36    -1.2732459258173683 -5.1951056604290775
37    -1.2732455837176406 -5.21903623046548
38    -1.2732452684008888 -5.242325737837012
39    -1.2732449771423269 -5.265007686685745
40    -1.2732447075551214 -5.287113019661504
41    -1.273244457541302 -5.308670372874938
42    -1.2732442252509524 -5.329706285295044
43    -1.2732440090475952 -5.350245419108586
44    -1.2732438074795098 -5.370310712813134
45    -1.2732436192551586 -5.389923546492517
46    -1.2732434432225304 -5.40910386865139
47    -1.273243278351222 -5.427870344058862
48    -1.273243123717613 -5.446240431147698
49    -1.2732429784916648 -5.464230505151668
50    -1.2732428419258248 -5.481855938729736
51    -1.273242713345407 -5.499131177981147
52    -1.2732425921401698 -5.516069823160985
53    -1.273242477757078 -5.532684691922603
54    -1.2732423696941515 -5.548987852588923
55    -1.2732422674939743 -5.564990827727422
56    -1.2732421707405557 -5.580704386280351
57    -1.2732420790565544 -5.5961383105436315
58    -1.2732419920921503 -5.611302676912496
59    -1.2732419095001455 -5.626212014159285
60    -1.2732418309632876 -5.640880436846219
61    -1.2732417562482017 -5.655310495631169
62    -1.2732416852388397 -5.6694840217047
63    -1.2732416174233874 -5.683466019817658
64    -1.273241553284345 -5.6971175293609635
65    -1.2732414913767087 -5.710714011886056
66    -1.2732414324404042 -5.724065818200389
67    -1.2732413766632769 -5.737091572192337
68    -1.2732413227352497 -5.750068222021775
69    -1.2732412713868277 -5.76279526813201
70    -1.2732412222230796 -5.775340599322874
71    -1.2732411753712136 -5.787642960205009
72    -1.2732411302483642 -5.79983013745107
73    -1.2732410869518151 -5.811854611681769
74    -1.2732410454441632 -5.8237035126728856
75    -1.2732410056114238 -5.835386567923619
76    -1.2732409673007472 -5.8469277020877355
77    -1.273240930546843 -5.858295782401611
78    -1.2732408951537446 -5.86953159461436
79    -1.2732408608956625 -5.880691147138598
80    -1.2732408279823049 -5.891689694125332
81    -1.273240796697515 -5.902408730446893
82    -1.273240766257043 -5.913098749233558
83    -1.2732407368565113 -5.923679534440154
84    -1.273240708476958 -5.934143367785124
85    -1.273240681312775 -5.9444009025582485
86    -1.2732406549808437 -5.954580907460226
87    -1.2732406295815664 -5.964631746238289
88    -1.2732406049352805 -5.974612151714782
89    -1.2732405811422223 -5.9844696372846595
90    -1.2732405581048445 -5.9942320930038395
91    -1.2732405360111057 -6.003805433321354
92    -1.2732405145047896 -6.013331421907863
93    -1.2732404937534643 -6.022725412065462
94    -1.273240473663378 -6.03201784546564
95    -1.2732404541099247 -6.041257102814749
96    -1.2732404352249618 -6.0503710510082005
97    -1.2732404169653246 -6.059368899201119
98    -1.273240399242185 -6.068284363714845
99    -1.2732403820082796 -6.077132852662926
